NRKARTY,DATAW,MASA,JEDN,FIRMA,NR_KLIENTA,NR_MAGW,NR_ODPADU
878/0W/2018,17.07.2018,0.1,Mg.,0,18185,34026,575
879/0W/2018,17.07.2018,0.1,Mg.,0,18185,34027,566
880/0W/2018,16.08.2018,5.36,Mg.,0,17368,34028,330
881/0W/2018,14.08.2018,4.38,Mg.,0,13771,34029,531
1440/0W/2018,08.11.2018,25.0,Mg.,0,827,34792,531
319/1W/2018,10.08.2018,2.18,Mg.,1,2594,34030,512
1435/0W/2018,15.11.2018,4.42,Mg.,0,12807,34786,531
3/0W/2019,01.12.2019,0.0,Mg.,0,11299,34829,589
73/1W/2019,28.02.2019,20.02,Mg.,1,4435,35133,662
196/0W/2019,27.02.2019,4.76,Mg.,0,6357,35177,604
1436/0W/2018,20.11.2018,3.56,Mg.,0,12807,34787,594
74/1W/2019,04.03.2019,10.0,Mg.,1,6827,35134,531
1437/0W/2018,27.11.2018,3.54,Mg.,0,12807,34788,350
75/1W/2019,04.03.2019,15.0,Mg.,1,6827,35135,531
521/1W/2018,19.12.2018,2.12,Mg.,1,2594,34789,605
1441/0W/2018,08.11.2018,10.0,Mg.,0,827,34793,575
1442/0W/2018,09.11.2018,10.0,Mg.,0,827,34794,576
1443/0W/2018,14.11.2018,20.0,Mg.,0,827,34795,531
1444/0W/2018,14.11.2018,10.0,Mg.,0,827,34796,579
1148/0W/2018,10.09.2018,20.0,Mg.,0,827,34408,598
1149/0W/2018,17.09.2018,10.0,Mg.,0,827,34409,570
1150/0W/2018,19.09.2018,20.0,Mg.,0,827,34410,572
1445/0W/2018,26.11.2018,25.0,Mg.,0,827,34797,106
76/1W/2019,01.03.2019,5.94,Mg.,1,6827,35136,576
387/1W/2018,30.08.2018,4.0,Mg.,1,14556,34232,604
1016/0W/2018,20.09.2018,9.086,Mg.,0,17846,34233,793
1127/0W/2018,31.08.2018,20.8,Mg.,0,2001,34387,531
1128/0W/2018,28.08.2018,23.84,Mg.,0,2001,34388,792
1129/0W/2018,04.09.2018,24.6,Mg.,0,2001,34389,582
1130/0W/2018,04.09.2018,23.94,Mg.,0,2001,34390,605
1131/0W/2018,06.09.2018,24.26,Mg.,0,2001,34391,597
1132/0W/2018,07.09.2018,23.0,Mg.,0,2001,34392,594
1133/0W/2018,11.09.2018,25.6,Mg.,0,2001,34393,582
1134/0W/2018,11.09.2018,25.08,Mg.,0,2001,34394,531
967/0W/2018,07.09.2018,24.78,Mg.,0,17224,34161,710
968/0W/2018,29.08.2018,6.7,Mg.,0,4034,34162,575
969/0W/2018,22.08.2018,2.76,Mg.,0,4034,34163,582
970/0W/2018,24.08.2018,3.7,Mg.,0,4034,34164,570
971/0W/2018,27.08.2018,3.92,Mg.,0,4034,34165,803
972/0W/2018,29.08.2018,3.38,Mg.,0,4034,34166,579
1135/0W/2018,12.09.2018,23.46,Mg.,0,2001,34395,607
1136/0W/2018,12.09.2018,23.8,Mg.,0,2001,34396,588
1137/0W/2018,13.09.2018,23.24,Mg.,0,2001,34397,572
1138/0W/2018,17.09.2018,22.6,Mg.,0,2001,34398,572
1139/0W/2018,18.09.2018,23.06,Mg.,0,2001,34399,564
320/1W/2018,16.08.2018,11.6,Mg.,1,6827,34031,568
321/1W/2018,14.08.2018,10.0,Mg.,1,6827,34032,576
322/1W/2018,20.08.2018,14.78,Mg.,1,6827,34033,531
961/0W/2018,20.08.2018,20.0,Mg.,0,827,34150,575
350/1W/2018,27.08.2018,1.07,Mg.,1,396,34136,604
351/1W/2018,27.08.2018,0.15,Mg.,1,396,34137,68
352/1W/2018,27.08.2018,0.1,Mg.,1,396,34138,531
957/0W/2018,31.08.2018,5.9,Mg.,0,827,34139,568
353/1W/2018,10.08.2018,0.1,Mg.,1,396,34140,605
354/1W/2018,31.08.2018,0.1,Mg.,1,396,34141,531
355/1W/2018,03.09.2018,5.64,Mg.,1,6827,34142,531
356/1W/2018,05.09.2018,4.45,Mg.,1,14556,34143,573
1446/0W/2018,26.11.2018,15.0,Mg.,0,827,34798,528
1447/0W/2018,28.11.2018,25.0,Mg.,0,827,34799,564
1451/0W/2018,20.12.2018,0.056,Mg.,0,15680,34804,531
1467/0W/2018,12.12.2018,0.52,Mg.,0,11299,34830,604
1448/0W/2018,29.11.2018,15.0,Mg.,0,827,34800,568
1468/0W/2018,27.12.2018,21.76,Mg.,0,9156,34831,531
1449/0W/2018,19.12.2018,24.48,Mg.,0,11299,34801,575
1450/0W/2018,20.12.2018,24.7,Mg.,0,11299,34802,531
529/1W/2018,27.12.2018,6.32,Mg.,1,6827,34832,531
522/1W/2018,20.12.2018,17.78,Mg.,1,6827,34803,531
431/1W/2018,18.10.2018,22.0,Mg.,1,3136,34420,579
1452/0W/2018,19.12.2018,0.008,Mg.,0,13452,34805,604
439/1W/2018,23.10.2018,16.4,Mg.,1,6827,34439,572
1171/0W/2018,23.10.2018,7.85,Mg.,0,17368,34440,575
